Street Name,Project,Developers,City,Province,Country,Postal Code,Completion,Building Type,Num Floors,Status,Brochure URL,Photos,Price,Bed,Area,Unit Url
Mapleview Drive East & Madelaine Drive,Copperhill Semis - South Barrie,Deer Creek Fine Homes,Barrie,ON,Canada,,2024,Single Family Homes,,2024,,https://www.livabl.com/barrie-on/copperhill-semis--south-barrie,"From $774,900",3 - 4 bd,1247 - 1896 SqFt,https://www.livabl.com/barrie-on/copperhill-semis--south-barrie
52 Lakeside Terrace,LakeVu3 - Final Phase,JD Development Group,Barrie,ON,Canada,,2026,Condos,,2026,,https://www.livabl.com/barrie-on/lakevu3--final-phase,"From $499,900",1 - 3.5 bd,533 - 1420 SqFt,https://www.livabl.com/barrie-on/lakevu3--final-phase
Veterans Drive & McKay Road West,South Barrie,Regal Crest Homes,Barrie,ON,Canada,,,Towns & Singles,,,,https://www.livabl.com/barrie-on/south-barrie2,Register Now,Floorplans coming soon bd,,https://www.livabl.com/barrie-on/south-barrie2
Veterans Dr & McKay Rd,South Barrie,,Barrie,ON,Canada,,,,,,,https://www.livabl.com/barrie-on/south-barrie--mpc,,Floorplans coming soon bd,,https://www.livabl.com/barrie-on/south-barrie--mpc
10 Little Lake Drive,The Landing at Little Lake,Landing Development Group,Barrie,ON,Canada,,,Condos,,,,https://www.livabl.com/barrie-on/the-landing-at-little-lake,Register Now,Floorplans coming soon bd,,https://www.livabl.com/barrie-on/the-landing-at-little-lake
620 Lockhart Road,Vicinity,Mattamy Homes Canada,Barrie,ON,Canada,,,Single Family Homes,,,,https://www.livabl.com/barrie-on/vicinity,"From $891,990",3 - 4 bd,1813 - 2808 SqFt,https://www.livabl.com/barrie-on/vicinity
339 Veterans Drive,Rainwater @ 339 Veterans,SEAN,Barrie,ON,Canada,,2024,Condos & Towns,,2024,,https://www.livabl.com/barrie-on/rainwater--339-veterans,"From $749,990",2 - 3.5 bd,1250 - 2156 SqFt,https://www.livabl.com/barrie-on/rainwater--339-veterans
405 Essa Road,405 Essa Road Condos,SEAN,Barrie,ON,Canada,,,Condos,,,,https://www.livabl.com/barrie-on/405-essa-road-condos,Register Now,Floorplans coming soon bd,,https://www.livabl.com/barrie-on/405-essa-road-condos
Mapleview Drive East & Yonge Street,LivYonge,Centreville Homes,Barrie,ON,Canada,,,Towns & Singles,,,,https://www.livabl.com/barrie-on/livyonge,Register Now,Floorplans coming soon bd,,https://www.livabl.com/barrie-on/livyonge
Veterans Drive & McKay Road West,South Barrie,Remington Homes,Barrie,ON,Canada,,,Towns & Singles,,,,https://www.livabl.com/barrie-on/south-barrie3,Register Now,Floorplans coming soon bd,,https://www.livabl.com/barrie-on/south-barrie3
