Street Name,Project,Developers,City,Province,Country,Postal Code,Completion,Building Type,Num Floors,Status,Brochure URL,Photos,Price,Bed,Area,Unit Url,Description,Status,Parking Included,Parking Price,Locker Included,Locker Price,Building Type,Deposit Structure
28 Park Road,Park Road Condos,Capital Developments,Yorkville,Ontario,Canada,,2027,Condo,,33 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2023/07/park-road-condos-rendering-01-260x260.jpg,"$588,900",,329 to 870 sq.ft.,https://www.talkcondo.com/toronto/park-road-condos/,"Park Road Condos is a new condominium development by Capital Developments currently in pre-construction located at 28 Park Road, Toronto in the Yorkville neighbourhood with a 98/100 walk score and a 90/100 transit score. Park Road Condos is designed by Diamond + Schmitt Architects Inc. and will feature interior design by Cecconi Simone. Development is scheduled to be completed in 2027. The project is 27 storeys tall and has a total of 302 suites ranging from 329 sq.ft to 870 sq.ft. Suites are priced from $588,900 to $1,292,900.",Pre-Construction,Yes,-,Yes,Waitlist,Condo,"$10,000.00 On Signing || Balance to 5% - 30 days || 5% - 180 days || 2.5% - 410 days || 2.5% - 600 days || 5% - Occupancy || "
1406 Yonge Street,The Hill Residences,Metropia Urban Landscapes,Summerhill,Ontario,Canada,,2028,Condo,,23 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2023/09/the-hill-residences-rendering-01-260x260.jpg,"$549,900",,305 to 585 sq.ft.,https://www.talkcondo.com/toronto/the-hill-residences/,"The Hill Residences is a new condominium development by Metropia Urban Landscapes currently in pre-construction located at 1406 Yonge Street, Toronto in the Summerhill neighbourhood with a 90/100 walk score and a 84/100 transit score. The Hill Residences is designed by IBI Group. Development is scheduled to be completed in 2028. The project is 50 storeys tall and has a total of 580 suites ranging from 245 sq.ft to 585 sq.ft. Suites are priced from $549,900 to $829,900.",Pre-Construction,Yes,-,Yes,-,Condo,"$10,000.00 On Signing || Balance to 2.5% - 30 days || 2.5% - Jan 10, 2024 || 2.5% - Apr 1, 2024 || 2.5% - Jan 10, 2025 || 2.5% - Apr 1, 2025 || 2.5% - Jan 10, 2026 || 5% - Occupancy || "
77 Raglan Avenue,Raglan House Condos,Camrost-Felcorp,Hillcrest Village St Clair-Humewood,Ontario,Canada,,2027,Condo,,5 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2023/03/raglan-house-condos-exterior-01-260x260.jpg,"$854,900",,478 to 985 sq.ft.,https://www.talkcondo.com/toronto/raglan-house-condos/,"Raglan House Condos is a new condominium development by Camrost-Felcorp & Trolleybus Urban Development Inc currently in pre-construction located at 77 Raglan Avenue, Toronto in the Hillcrest Village St Clair-Humewood neighbourhood with a 82/100 walk score and a 85/100 transit score. Raglan House Condos is designed by IBI Group and will feature interior design by Maed Collective. Development is scheduled to be completed in 2027. The project is 28 storeys tall and has a total of 320 suites ranging from 454 sq.ft to 985 sq.ft. Suites are priced from $854,900 to $1,849,900.",Pre-Construction,Yes,"$100,000",Yes,"$7,500",Condo,"$10,000.00 On Signing || Balance to 5% - 30 days || 5% - Jan 15, 2025 || 5% - Jan 15, 2026 || 5% - Occupancy || "
1467 Bathurst Street,Forêt Forest Hill Condos,Canderel Residential,Forest Hill,Ontario,Canada,,2027,Condo,,22 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2022/04/foret-forest-hill-condos-rendering-01-260x260.png,"$572,900",,389 to 1923 sq.ft.,https://www.talkcondo.com/toronto/foret-forest-hill-condos/,"Forêt Forest Hill Condos is a new condominium development by Canderel Residential & KingSett Capital currently in pre-construction located at 1467 Bathurst Street, Toronto in the Forest Hill neighbourhood with a 90/100 walk score and a 86/100 transit score. Forêt Forest Hill Condos is designed by BDP Quadrangle and will feature interior design by II BY IV DESIGN. Development is scheduled to be completed in 2027. The project is 36 storeys tall and has a total of 1,128 suites ranging from 369 sq.ft to 1923 sq.ft. Suites are priced from $572,900 to $3,990,900.",Pre-Construction,Yes,"$124,000",Yes,Waitlist,Condo,"$10,000.00 On Signing || Balance to 5% - 30 days || 5% - Mar 1, 2024 || 5% - Mar 1, 2025 || 5% - Occupancy || "
2788 Bathurst Street,Glen Hill Condos,Lanterra Developments,Glen Park,Ontario,Canada,,2025,Condo,,31 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2020/09/glenhill-condos-lanterra-1-260x260.jpg,"$1,400,900",,865 to 3777 sq.ft.,https://www.talkcondo.com/toronto/glen-hill-condos/,"Glen Hill Condos is a new condominium development by Lanterra Developments currently under construction located at 2788 Bathurst Street, Toronto in the Glen Park neighbourhood with a 74/100 walk score and a 73/100 transit score. Glen Hill Condos is designed by IBI Group and will feature interior design by Studio Munge. Development is scheduled to be completed in 2025. The project is 9 storeys tall and has a total of 113 suites ranging from 641 sq.ft to 5000 sq.ft. Suites are priced from $1,400,900 to $6,509,800.",Under Construction,Yes,Included (1),Yes,Included (1),Condo &Townhouse,"$5,000.00 On Signing || Balance to 5% - 30 days || 5% - 90 days || 5% - 270 days || 5% - 540 days || 2% - Occupancy || "
50 Scollard Street,Fifty Scollard Condos,Lanterra Developments,Yorkville,Ontario,Canada,,2024,Condo,,12 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2018/06/fifty-scollard-condos-rendering-01-260x260.jpg,"$2,799,900",,1200 to 5190 sq.ft.,https://www.talkcondo.com/toronto/fifty-scollard-condos/,"Fifty Scollard Condos is a new condominium development by Lanterra Developments currently under construction located at 50 Scollard Street, Toronto in the Yorkville neighbourhood with a 100/100 walk score and a 97/100 transit score. Fifty Scollard Condos is designed by Foster + Partners and will feature interior design by Studio Munge. Development is scheduled to be completed in 2024. The project is 41 storeys tall (158.0m, 518.4ft) and has a total of 112 suites ranging from 638 sq.ft to 5943 sq.ft. Fifty Scollard Condos is the # tallest condominium in  and the # tallest condominium in . Suites are priced from $2,799,900 to $17,318,900.",Under Construction,Yes,Included (1),Yes,-,Condo,"$25,000.00 On Signing || Balance to 5% - 60 days || 5% - 210 days || 2.5% - 365 days || 2.5% - 540 days || 2.5% - 720 days || 1% - Occupancy || "
121 Avenue Road,The Webley Condos,Zinc Developments,Yorkville,Ontario,Canada,,,Condo,,12 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2018/07/121-avenue-road-condos-rendering-260x260.jpg,"$10,350,000",,Floor Plans Coming Soon,https://www.talkcondo.com/toronto/the-webley-condos/,"The Webley Condos is a new condominium development by Zinc Developments currently in pre-construction located at 121 Avenue Road, Toronto in the Yorkville neighbourhood with a 97/100 walk score and a 93/100 transit score. The Webley Condos is designed by Cumulus Architects Inc. and will feature interior design by AUDAX. The project is 8 storeys tall and has a total of 16 suites ranging from 1,122 sq.ft to 3,897 sq.ft.",Pre-Construction,Yes,Included (2),Yes,Included (1),Condo,
900 Saint Clair Avenue West,St. Clair Village Condos,Canderel Residential,Hillcrest Village St Clair-Humewood,Ontario,Canada,,,Condo,,3 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2019/04/st-clair-village-condos-rendering-001-260x260.jpeg,"$1,399,900",,1082 to 2013 sq.ft.,https://www.talkcondo.com/toronto/st-clair-village-condos/,"St. Clair Village Condos is a new condominium development by Canderel Residential & KingSett Capital currently under construction located at 900 Saint Clair Avenue West, Toronto in the Hillcrest Village St Clair-Humewood neighbourhood with a 95/100 walk score and a 82/100 transit score. St. Clair Village Condos is designed by BDP Quadrangle and will feature interior design by Studio CK. The project is 12 storeys tall and has a total of 118 suites ranging from 445 sq.ft to 2013 sq.ft. Suites are priced from $1,399,900 to $2,499,900.",Under Construction,Yes,"$75,000",Yes,Waitlist,Condo,"$5,000.00 On Signing || Balance to 5% - 30 days || 5% - Occupancy || "
2650 Saint Clair Avenue West,Lambton Towns,Dunpar Homes,Lambton,Ontario,Canada,,2024,Condo,,1 Condo for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2023/03/lambton-towns-rendering-01-260x260.jpg,"$1,559,990",,1581 sq.ft.,https://www.talkcondo.com/toronto/lambton-towns/,"Lambton Towns is a new condominium development by Dunpar Homes currently in pre-construction located at 2650 Saint Clair Avenue West, Toronto in the Lambton neighbourhood with a 72/100 walk score and a 67/100 transit score. Development is scheduled to be completed in 2024. The project is 4 storeys tall and has a total of 96 suites ranging from 1581 sq.ft to 1581 sq.ft. Suites are priced from $1,559,990 to $1,559,990.",Pre-Construction,Yes,Included (1),Yes,Included (1),Townhouse,
117 Broadway Avenue,Line 5 North Condos,Reserve Properties,Yonge & Eglinton,Ontario,Canada,,2025,Condo,,10 Condos for Sale,,https://talkcondo.s3.ca-central-1.amazonaws.com/wp-content/uploads/2023/03/line-5-north-condos-rendering-01-260x260.jpg,"$659,900",,347 to 770 sq.ft.,https://www.talkcondo.com/toronto/line-5-north-condos/,"Line 5 North Condos is a new condominium development by Reserve Properties & Westdale Properties currently under construction located at 117 Broadway Avenue, Toronto in the Yonge & Eglinton neighbourhood with a 89/100 walk score and a 87/100 transit score. Line 5 North Condos is designed by IBI Group and will feature interior design by U31. Development is scheduled to be completed in 2025. The project is 37 storeys tall and has a total of 450 suites ranging from 347 sq.ft to 1094 sq.ft. Suites are priced from $659,900 to $1,324,900.",Under Construction,Yes,Waitlist,Yes,"$12,500",Condo &Townhouse,"$5,000.00 On Signing || Balance to 5% - 30 days || 2.5% - 380 days || 10% - Occupancy || "
