Unit Model,Project,Unit Type,Unit Numbers,Num Bedrooms,Num Bathrooms,Interior Square Ft,Exterior Square Ft,Price,AVG PSF,Floor Plan,Facing Direction,Exterior Type
Unit 12,The Hill Residences,Suite,,0 Bed,1 Bath,305 sq.ft,,"$549,900",,,North,
Unit 12,The Hill Residences,Suite,,0 Bed,1 Bath,306 sq.ft,,"$549,900",,,North,
Unit 11,The Hill Residences,Suite,,0 Bed,1 Bath,307 sq.ft,,"$549,900",,,North,
Unit 11,The Hill Residences,Suite,,0 Bed,1 Bath,307 sq.ft,,"$549,900",,,North,
Unit 11,The Hill Residences,Suite,,0 Bed,1 Bath,307 sq.ft,,"$549,900",,,North,
Unit 05 (with Balcony),The Hill Residences,Suite,,0 Bed,1 Bath,314 sq.ft,,"$549,900",,,South West,
Unit 13 (with Balcony),The Hill Residences,Suite,,1 Bed,1 Bath,416 sq.ft,,"$721,900",,,North East,
Unit 01 (with Balcony),The Hill Residences,Suite,,1 Bed,1 Bath,416 sq.ft,,"$679,900",,,East,
Unit 14 (with Balcony),The Hill Residences,Suite,,1 Bed,1 Bath,437 sq.ft,,"$681,900",,,East,
Unit 01 (with Balcony),The Hill Residences,Suite,,1 Bed,1 Bath,439 sq.ft,,"$681,900",,,East,
Unit 03,The Hill Residences,Suite,,1 Bed,1 Bath,439 sq.ft,,"$665,900",,,East,
Unit 08,The Hill Residences,Suite,,1 Bed,1 Bath,448 sq.ft,,"$679,900",,,West,
Unit 02 (with Balcony),The Hill Residences,Suite,,1 Bed,1 Bath,459 sq.ft,,"$669,900",,,East,
Unit 10,The Hill Residences,Suite,,1 Bed,1 Bath,470 sq.ft,,"$729,900",,,North West,
Unit 10,The Hill Residences,Suite,,1 Bed,1 Bath,470 sq.ft,,"$729,900",,,North West,
Unit 10,The Hill Residences,Suite,,1 Bed,1 Bath,470 sq.ft,,"$729,900",,,North West,
Unit 04 (with Balcony),The Hill Residences,Suite,,1 Bed,1 Bath,472 sq.ft,,"$738,900",,,South East,
Unit 04 (with Balcony),The Hill Residences,Suite,,1 Bed,1 Bath,472 sq.ft,,"$738,900",,,South East,
Unit 09,The Hill Residences,Suite,,1 Bed,1 Bath,475 sq.ft,,"$679,900",,,West,
Unit 04,The Hill Residences,Suite,,1 Bed,1 Bath,477 sq.ft,,"$738,900",,,South East,
Unit 10 (with Balcony),The Hill Residences,Suite,,1 Bed,1 Bath,498 sq.ft,,"$689,900",,,East,
Unit 07,The Hill Residences,Suite,,2 Bed,2 Bath,563 sq.ft,,"$799,900",,,West,
Unit 06,The Hill Residences,Suite,,2 Bed,2 Bath,585 sq.ft,,"$829,900",,,South West,
Unit 03,The Hill Residences,Suite,,0 Bed,1 Bath,245 sq.ft,,,,,East,
Unit 01,The Hill Residences,Suite,,0 Bed,1 Bath,291 sq.ft,,,,,East,
Unit 12,The Hill Residences,Suite,,0 Bed,1 Bath,302 sq.ft,,,,,North,
Unit 12,The Hill Residences,Suite,,0 Bed,1 Bath,306 sq.ft,,,,,North,
Unit 11,The Hill Residences,Suite,,0 Bed,1 Bath,319 sq.ft,,,,,North,
Unit 05,The Hill Residences,Suite,,0 Bed,1 Bath,322 sq.ft,,,,,South West,
Unit 02,The Hill Residences,Suite,,0 Bed,1 Bath,365 sq.ft,,,,,East,
Unit 10,The Hill Residences,Suite,,0 Bed,1 Bath,375 sq.ft,,,,,East,
Unit 13,The Hill Residences,Suite,,1 Bed,1 Bath,425 sq.ft,,,,,North East,
Unit 13,The Hill Residences,Suite,,1 Bed,1 Bath,428 sq.ft,,,,,North East,
Unit 09,The Hill Residences,Suite,,1 Bed,1 Bath,440 sq.ft,,,,,West,
Unit 08,The Hill Residences,Suite,,1 Bed,1 Bath,461 sq.ft,,,,,West,
